plant_id,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source
26600,0,578.782513,750.159202,1296.640709,1676.278294,1915.337252,3251.099993,U.S. Energy Information Administration
26601,7.032,6.808,0.005,2.2892,4.67831,5.63085,0,U.S. Energy Information Administration
26602,8460.89,9497.321,8160.912,9625.622,8128.259,9708.441,8866.499,U.S. Energy Information Administration
26603,0,0,4.485,40.794,41.315,39.313,38.363,U.S. Energy Information Administration
26604,0,0,0,0,0,1.143,3.037,U.S. Energy Information Administration
26605,0,0,0,0,0,1.025,3.513,U.S. Energy Information Administration
26606,117.714,132.105,135.492,136.523,134.696,151.72,77.398,U.S. Energy Information Administration
26607,0,0,0,0,0,0,539.033486,U.S. Energy Information Administration
26608,0,0,0,0,0.96,5.14,5.127,U.S. Energy Information Administration
26609,2535.528,2480.83,3571.838,2909.398,2490.625,2986.301,3028.361,U.S. Energy Information Administration
26610,880.563997,845.465004,829.278996,730.856997,811.449005,812.022001,766.678002,U.S. Energy Information Administration
26611,13.953,15.283,15.009,12.112,10.856,13.28976,8.69814,U.S. Energy Information Administration
26612,8959.65903,8289.78303,8636.01603,9059.70998,9275.37898,9761.647,8499.85803,U.S. Energy Information Administration
26613,742.569,0,363.326,95.049,0,196.644,276.01,U.S. Energy Information Administration
26614,20487.14,18635.776,19954.124,20385.142,16999.925,20498.107,19304.71,U.S. Energy Information Administration
26615,0,0,0,84.592,285.438,297.86,290.821,U.S. Energy Information Administration
26616,2.317,2.158,1.653,7.927,8.456,5.441,7.918,U.S. Energy Information Administration
26617,102.602,107.566,91.035,116.764,93.507,113.681,87.601,U.S. Energy Information Administration
26618,39.956,45.542,41.325,46.819,42.681,36.484,38.199,U.S. Energy Information Administration
26619,0,0,0,0,132.21488,288.11813,362.487,U.S. Energy Information Administration
26620,0,0,0,0,0,0,12.758,U.S. Energy Information Administration
26621,0,0,0,0,0,4.045,3.749,U.S. Energy Information Administration
26622,323.101,353.812,343.511,290.397,379.605,352.5,417.404,U.S. Energy Information Administration
26623,0,0,0,0,0,0,-0.058,U.S. Energy Information Administration
26624,0,0,0,0,0,0,1.585,U.S. Energy Information Administration
26625,41.403,155.228,134.058,100.476,72.131,104.503,13.75,U.S. Energy Information Administration
26626,0,0,0,1.213,0.694,0.683,1.092,U.S. Energy Information Administration
26627,0,6.62,14.478,13.95306,13.644,11.73,13.877,U.S. Energy Information Administration
26628,94.423,102.38,93.859,99.185,97.373,5.936,84.674,U.S. Energy Information Administration
26629,107.297,109.376,114.562,119.515,117.291,112.44,109.664,U.S. Energy Information Administration
26630,124.668,127.169,109.482,115.741,115.775,106.037,101.415,U.S. Energy Information Administration
26631,41.132015,46.794,85.913,101.440999,79.543,142.666996,82.828,U.S. Energy Information Administration
26632,0,0,0,0,0,0,58.215,U.S. Energy Information Administration
26633,0,5.64201,5.692,6.214,5.784,4.77,4.34,U.S. Energy Information Administration
26634,0,1.458,2.031,2.16,2.05,1.989,2.064,U.S. Energy Information Administration
26635,89.157,99.604,84.165,96.898,90.669,98.535,74.241,U.S. Energy Information Administration
26636,0,0,0,0,0.132,3.62,3.613,U.S. Energy Information Administration
