plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
508,Hunter,AUS0000277,29,8,,1099346,,Infratil Energy Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
509,Hunter Valley,AUS0000278,50,4,,1014206,,Macquarie Generation,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
510,Inkerman Sugar Mill,AUS0000145,10.5,2,,1025551,,CSR,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
511,Invicta Sugar Mill,AUS0000056,150,2,,1013429,,CSR,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
512,Isis Central Sugar Mill,AUS0000159,25,2,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
513,Jacks Gully,AUS0000039,2.3,13,,1053498,,Energy Developments LFG (NSW) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
514,Jeeralang A,AUS0000088,204,4,,1030167,,Industry Funds Management Nominees Ltd Ecogen Holdings,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
515,Jeeralang B,AUS0000089,228,4,,1030167,,Industry Funds Management Nominees Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
516,Jindabyne Dam Mini Hydro,AUS0000021,1.1,6,,1029078,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
517,John Butters,AUS0000134,144,6,,1019016,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
518,Jounama,AUS0000038,14,6,,1066821,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
519,Jundee Gold Mine,AUS0000222,21,4,,1061933,,Newmount Australia,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
520,KRC Cogeneration Plant,AUS0000332,4.2,4,,,,AGL,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
521,Kalamia Sugar Mill,AUS0000160,9,2,,,,Sucrogen (Kalamia) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
522,Kalamunda,AUS0000329,1.3,8,,1067433,,Landfill Gas and Power Pty Ltd,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
523,Kalbarri Wind Farm,AUS0000405,1.7,#N/A,,,,Verve Energy,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
524,Kalgoorlie (Parkeston),AUS0000188,110,4,,1024263,,Newmount Australia / Transalta,Australian Renewable Energy Mapping Infrastructure,Australian Renewable Energy Mapping Infrastructure,
